GOID	GO_term	Cluster frequency	Background frequency	Corrected P-value	False discovery rate	Gene(s) annotated to the term	Directly Annotated GOID List
5576	extracellular region	40 out of 500 genes, 8.0%	296 out of 10130 background genes, 2.9%	1.25e-06	0.00%	Afu1g06480:Afu1g10630:bgt1:Afu1g15960:gel1:Afu2g03980:mp2:egl3:ssc70:pup2:Afu2g12010:Afu3g00840:Afu3g02770:aspf27:Afu3g07870:Afu3g11260:Afu3g11280:glfA:hasG:Afu4g03830:Afu4g04550:Afu4g13920:Afu4g14450:Afu5g00975:Afu5g06390:pyroA:Afu5g10380:Afu5g13450:glkA:aspf22:Afu6g09540:akr1:cbhB:fmqD:acoA:Afu7g01000:Afu7g02310:Afu7g05030:chi2:Afu8g06830	5628:9986:19773:42645:46658:324:31966:5759:5886:5935:1903561:22627:30445:30446:62040:5737:5622:1405:5829:34967:5758:1990819:5739:5839:5743:9277:16020:5634:15:34515:43332:10494:5576
9277	fungal-type cell wall	19 out of 500 genes, 3.8%	95 out of 10130 background genes, 0.9%	3.51e-05	0.00%	Afu1g10630:bgt1:gel1:ssc70:aspf27:glfA:mp1:Afu4g07845:rgsB:wsc1:aspA:Afu5g13450:aspf22:Afu6g07430:gel2:fmqD:Afu7g05340:chi2:Afu8g01710	72687:5628:9986:32160:5619:42645:46658:324:31966:144:5881:5621:5886:120104:31105:22625:5618:5935:1903561:5876:30445:30446:62040:5622:5737:1405:5829:34967:5758:5739:36391:32151:1902929:5743:9277:16020:5634:15:1411:30428:1400:10494:5576
5618	cell wall	19 out of 500 genes, 3.8%	100 out of 10130 background genes, 1.0%	8.20e-05	0.00%	Afu1g10630:bgt1:gel1:ssc70:aspf27:glfA:mp1:Afu4g07845:rgsB:wsc1:aspA:Afu5g13450:aspf22:Afu6g07430:gel2:fmqD:Afu7g05340:chi2:Afu8g01710	72687:5628:9986:32160:5619:42645:46658:324:31966:144:5881:5621:5886:120104:31105:22625:5618:5935:1903561:5876:30445:30446:62040:5622:5737:1405:5829:34967:5758:5739:36391:32151:1902929:5743:9277:16020:5634:15:1411:30428:1400:10494:5576
71944	cell periphery	51 out of 500 genes, 10.2%	493 out of 10130 background genes, 4.9%	8.21e-05	0.00%	Afu1g03510:glcA:Afu1g05930:Afu1g10630:bgt1:Afu1g16750:gel1:Afu2g05740:Afu2g09130:ssc70:Afu2g11520:Afu2g13710:Afu2g14060:Afu2g14280:aspf27:Afu3g07530:Afu3g11040:glfA:mp1:Afu4g07845:Afu4g09150:rgsB:wsc1:Afu5g05950:Afu5g06660:Afu5g07100:Afu5g07930:Afu5g08130:aspA:Afu5g09680:Afu5g10550:Afu5g11600:Afu5g13450:Afu6g02170:aspf22:Afu6g07430:pil1:Afu6g07910:gel2:fmqD:Afu6g12550:erg9:Afu7g05340:aspB:Afu7g05550:chi2:Afu8g01710:Afu8g04430:pmt4:Afu8g04660:mfsA	8250:5628:778:9986:32160:31965:5619:42645:36286:32154:46658:324:31966:51286:5881:30427:329:5816:5621:5826:5886:35839:790:5756:1904511:35838:22625:32153:9898:1905721:1903561:71521:5622:5737:30131:34967:5940:5847:31097:36391:97586:31562:42652:31521:5743:9277:5754:97575:15:72357:30428:43332:90726:1400:5784:42175:72687:1990567:1990752:1905759:5789:1902716:55028:35371:36362:45281:144:5934:16021:5844:120104:72686:31105:5618:61638:5935:5876:30445:30446:51285:62040:131:1405:5829:5758:5872:5783:5739:5938:30479:70382:32151:235:5773:32126:1902929:5730:16020:32541:5634:36449:1411:32168:12505:164:10494:5576:5741
30312	external encapsulating structure	19 out of 500 genes, 3.8%	102 out of 10130 background genes, 1.0%	0.00011	0.00%	Afu1g10630:bgt1:gel1:ssc70:aspf27:glfA:mp1:Afu4g07845:rgsB:wsc1:aspA:Afu5g13450:aspf22:Afu6g07430:gel2:fmqD:Afu7g05340:chi2:Afu8g01710	5628:9986:32160:5619:42645:46658:324:31966:5881:5621:5886:22625:1903561:5622:5737:34967:36391:5743:9277:15:30428:1400:72687:144:120104:31105:5618:5935:5876:30445:30446:62040:1405:5829:5758:5739:32151:1902929:16020:5634:1411:10494:5576
45259	proton-transporting ATP synthase complex	6 out of 500 genes, 1.2%	16 out of 10130 background genes, 0.2%	0.01786	0.33%	Afu1g03510:Afu1g16280:Afu2g09310:Afu2g12400:Afu4g09360:Afu5g10550	9986:276:31966:5886:5756:5622:275:45263:5754:274:5739:33177:16020:5741
5739	mitochondrion	45 out of 500 genes, 9.0%	519 out of 10130 background genes, 5.1%	0.03597	0.29%	Afu1g03510:Afu1g06610:Afu1g07530:Afu1g10630:Afu1g12070:Afu1g12800:Afu1g14200:Afu1g15140:Afu1g15960:Afu1g16280:Afu2g04270:Afu2g08750:Afu2g09130:Afu2g09310:ssc70:Afu2g12400:Afu2g12530:Afu2g13710:Afu2g13960:Afu3g06040:aspf27:Afu3g07690:Afu3g08330:Afu4g04410:cit1:Afu5g05920:Afu5g07100:Afu5g09680:Afu5g10550:Afu5g11540:Afu5g13370:Afu5g13450:Afu6g02960:Afu6g03730:Afu6g04560:aspf22:Afu6g08630:Afu6g08750:Afu6g12250:Afu6g12550:acoA:Afu7g01000:Afu7g01850:amcA:coaT	5666:5763:5724:276:9986:5744:42645:324:31966:5759:5886:790:5756:1903561:31307:5737:5622:34967:5777:42652:275:5743:5960:9277:5740:5754:15:17087:274:45281:9514:35861:30445:30446:5761:62040:1405:5829:5758:5739:31305:5730:16020:32541:5634:61617:1902377:10494:5576:5741
5737	cytoplasm	115 out of 500 genes, 23.0%	1701 out of 10130 background genes, 16.8%	0.03702	0.25%	Afu1g03510:glcA:Afu1g05620:Afu1g05930:Afu1g06610:gprJ:Afu1g07510:Afu1g07530:rps23:Afu1g10570:Afu1g10630:Afu1g12070:Afu1g12800:Afu1g14200:Afu1g15140:Afu1g15340:Afu1g15720:pbs2:Afu1g15960:Afu1g16280:Afu1g16840:cyp7:Afu2g02230:Afu2g03490:Afu2g03610:Afu2g04270:Afu2g04610:Afu2g04820:Afu2g05740:Afu2g06280:Afu2g08750:Afu2g09130:Afu2g09310:ssc70:Afu2g10620:pup2:Afu2g11520:Afu2g11760:rpL3:Afu2g12400:Afu2g12530:Afu2g13680:Afu2g13710:Afu2g13960:Afu2g14280:Afu2g16010:Afu2g16090:Afu2g16120:Afu3g06010:Afu3g06040:cps1:aspf27:Afu3g07690:Afu3g08330:Afu3g08940:Afu3g09320:Afu3g09360:Afu3g10300:Afu3g11260:Afu3g11390:pep2:glfA:Afu3g14690:Afu4g04410:Afu4g07845:Afu4g12750:Afu5g04060:cit1:Afu5g04270:Afu5g05705:Afu5g05920:Afu5g05950:Afu5g07100:Afu5g07930:Afu5g08130:aspA:Afu5g09200:Afu5g09660:Afu5g09680:Afu5g10550:Afu5g11540:Afu5g11600:Afu5g11730:Afu5g12420:Afu5g13370:Afu5g13450:Afu5g13620:Afu6g00630:Afu6g02960:Afu6g03730:Afu6g04560:derA:aspf22:PIG-S:Afu6g07430:pil1:Afu6g07910:Afu6g08630:Afu6g08750:sitA:Afu6g12250:Afu6g12550:acoA:tub2:Afu7g01000:erg9:Afu7g01850:Afu7g02310:Afu7g03980:aspB:amcA:Afu8g04430:pmt4:Afu8g04660:coaT	5666:8250:5763:5724:5628:276:9986:5744:42645:36286:31966:51286:5881:30427:329:5816:5759:5826:35839:1990023:22625:32153:9898:1905721:30121:22627:30131:5940:42764:36391:97586:31562:19005:932:8541:5635:275:5960:8287:15:30015:34515:43332:1400:18444:5784:42175:72687:1990752:1905759:5789:1902716:35371:36362:5880:31105:5935:30445:5761:62040:5768:131:5794:5938:70382:5773:159:32126:31305:16020:5634:61617:32168:1902377:10494:5576:5741:778:32160:5654:19773:31965:5619:32154:324:42765:5886:5756:790:1904511:16282:35838:71627:1903561:30686:71521:31307:5737:5622:5847:34967:31097:8540:5777:42652:31521:837:5839:5743:9277:5740:5754:97575:72357:30428:22626:17087:90726:1990567:274:32040:55028:839:30014:45281:144:5934:9514:1990251:16021:5844:72380:45298:72686:120104:61638:35861:5876:30446:51285:1990315:1405:5829:5758:328:9328:5872:5739:5783:30479:32151:235:5852:5643:5730:16272:32541:1411:36449:12505:164:34399:5849
5622	intracellular	185 out of 500 genes, 37.0%	3010 out of 10130 background genes, 29.7%	0.04809	0.22%	Afu1g01340:Afu1g03510:Afu1g03820:thtA:Afu1g04590:abaA:glcA:Afu1g05160:Afu1g05620:Afu1g05740:Afu1g05930:Afu1g06610:gprJ:Afu1g07510:Afu1g07530:Afu1g09060:rps23:Afu1g10320:Afu1g10570:Afu1g10630:Afu1g12070:Afu1g12590:Afu1g12800:Afu1g13920:bfr1:Afu1g14200:Afu1g14280:Afu1g14680:Afu1g14740:Afu1g15140:Afu1g15340:Afu1g15720:Afu1g15810:Afu1g15900:pbs2:Afu1g15960:Afu1g16280:Afu1g16840:Afu2g01820:cyp7:Afu2g02230:prp8:Afu2g03490:Afu2g03610:Afu2g03980:Afu2g04270:Afu2g04610:Afu2g04650:Afu2g04820:Afu2g05740:Afu2g06280:Afu2g07480:Afu2g08040:Afu2g08750:Afu2g09130:Afu2g09310:ssc70:Afu2g10620:pup2:Afu2g11520:Afu2g11660:Afu2g11760:rpL3:Afu2g12400:Afu2g12530:Afu2g13680:Afu2g13710:Afu2g13960:Afu2g14280:Afu2g14920:Afu2g15600:Afu2g16010:Afu2g16030:Afu2g16090:Afu2g16120:Afu2g16170:Afu3g00240:Afu3g00490:Afu3g02480:Afu3g04320:Afu3g05890:Afu3g06010:Afu3g06040:Afu3g06400:cps1:aspf27:Afu3g07690:Afu3g08330:Afu3g08940:Afu3g09320:Afu3g09360:Afu3g10300:Afu3g11260:Afu3g11370:Afu3g11390:pep2:glfA:Afu3g14690:Afu3g15290:ubiE:Afu4g04410:Afu4g07100:Afu4g07845:Afu4g08440:Afu4g09010:Afu4g09360:Afu4g12750:Afu5g02160:Afu5g03320:Afu5g04060:cit1:Afu5g04270:Afu5g05705:Afu5g05920:Afu5g05950:Afu5g07020:Afu5g07100:akuA:Afu5g07930:Afu5g08130:aspA:Afu5g09170:Afu5g09200:Afu5g09660:Afu5g09680:Afu5g10550:Afu5g11540:Afu5g11600:Afu5g11620:Afu5g11730:Afu5g11890:Afu5g12420:Afu5g12680:Afu5g13370:Afu5g13450:Afu5g13620:Afu5g13865:Afu6g00120:Afu6g00200:Afu6g00630:glkA:Afu6g02960:mcsA:Afu6g03730:Afu6g04560:derA:Afu6g06740:aspf22:PIG-S:Afu6g07430:pil1:Afu6g07780:Afu6g07910:Afu6g08630:Afu6g08750:Afu6g08880:akr1:Afu6g10730:sitA:Afu6g11640:Afu6g12250:Afu6g12550:Afu6g12770:acoA:Afu6g13690:tub2:Afu7g01000:erg9:Afu7g01310:Afu7g01850:Afu7g01920:Afu7g01940:Afu7g02180:Afu7g02310:Afu7g02540:Afu7g03980:Afu7g04580:aspB:Afu7g05480:amcA:Afu8g04430:pmt4:Afu8g04660:Afu8g04740:coaT	8250:5666:5763:5628:5724:276:9986:5684:5744:42645:36286:31966:51286:5671:5881:30427:329:5816:5759:5826:35839:1990023:22625:32153:9898:1990483:1905721:30121:22627:70938:80008:46695:33698:30131:5940:5681:5840:42764:36391:97586:31562:932:8541:19005:5635:275:71014:5960:8287:15:1990904:30015:34515:43332:1400:18444:5784:42175:72687:1990752:1905759:5789:1902716:346:35371:36362:31618:35327:1990421:5880:31105:5935:30445:5761:62040:124:5768:131:1990112:5794:974:5938:5682:70382:5685:33177:5773:159:32126:5672:31305:16020:5634:61617:32168:1902377:10494:5576:34506:5741:778:32160:19773:5654:31965:5619:32154:324:42765:5886:43564:790:5756:1904511:16282:35838:71627:44732:1903561:30686:31307:71521:5622:5737:34967:5847:31097:8540:5777:5736:43494:42652:31521:837:5839:5743:45263:9277:5740:5754:97575:5665:72357:30428:22626:784:17087:90726:274:1990567:839:55028:32040:30014:45281:144:9514:5934:16021:1990251:5844:31390:45298:72380:120104:72686:61638:5811:35861:5876:30446:51285:1990315:1405:5829:328:5758:5872:1990819:9328:5783:5739:30479:32151:235:5852:42025:5643:16272:5730:32541:36449:1411:12505:34399:164:5849
9986	cell surface	12 out of 500 genes, 2.4%	77 out of 10130 background genes, 0.8%	0.08712	0.80%	Afu1g10630:bgt1:gel1:ssc70:rpL3:Afu4g04070:wsc1:Afu5g10550:Afu5g13450:aspf22:Afu6g07430:Afu7g05340	5628:9986:42645:46658:31966:5621:22625:15:5935:30445:62040:16020:5634:10494:5576:5741:324:5886:1903561:5622:5737:5743:9277:5754:30428:32040:30446:1405:5829:5739:1902929:1411
