GOID	GO_term	Cluster frequency	Background frequency	Corrected P-value	False discovery rate	Gene(s) annotated to the term	Directly Annotated GOID List
5576	extracellular region	43 out of 348 genes, 12.4%	235 out of 6473 background genes, 3.6%	1.00e-10	0.00%	TTR1:RPS42:PMM1:XOG1:ECM33:OFR1:TKL1:LIP10:FGR41:NIT3:SIM1:GPM1:UGA1:SSC1:APE3:MP65:ARF3:TOS1:LAP41:YCK2:TDH3:C3_06920W_A:TPI1:MDH1-1:ECE1:PET9:GRP2:YNK1:GRE3:SCW11:PGA4:SUN41:SAP6:SAP5:C6_03150C_A:SAP4:HBR2:ACB1:RPS18:CYP1:RBP1:CPY1:CR_09240C_A	5628:34270:9986:42645:46658:324:5759:5886:5811:5935:1903561:22627:30445:30446:62040:5622:5737:1405:34967:5829:328:5758:1990819:5840:5739:935:5743:9277:16020:5634:5937:31314:10494:5576
31012	extracellular matrix	20 out of 348 genes, 5.7%	74 out of 6473 background genes, 1.1%	2.00e-07	0.00%	TTR1:PMM1:OFR1:TKL1:NIT3:GPM1:UGA1:SSC1:TDH3:C3_06920W_A:TPI1:MDH1-1:GRP2:YNK1:SAP6:SAP5:HBR2:CYP1:RBP1:CR_09240C_A	9986:42645:5759:5886:5811:1903561:30445:30446:62040:5737:5622:1405:34967:5829:5758:5739:5743:9277:5634:10494:5576
62039	biofilm matrix	20 out of 348 genes, 5.7%	74 out of 6473 background genes, 1.1%	2.00e-07	0.00%	TTR1:PMM1:OFR1:TKL1:NIT3:GPM1:UGA1:SSC1:TDH3:C3_06920W_A:TPI1:MDH1-1:GRP2:YNK1:SAP6:SAP5:HBR2:CYP1:RBP1:CR_09240C_A	9986:42645:5759:5886:5811:1903561:30445:30446:62040:5737:5622:1405:34967:5829:5758:5739:5743:9277:5634:10494:5576
62040	fungal biofilm matrix	20 out of 348 genes, 5.7%	74 out of 6473 background genes, 1.1%	2.00e-07	0.00%	TTR1:PMM1:OFR1:TKL1:NIT3:GPM1:UGA1:SSC1:TDH3:C3_06920W_A:TPI1:MDH1-1:GRP2:YNK1:SAP6:SAP5:HBR2:CYP1:RBP1:CR_09240C_A	9986:42645:5759:5886:5811:1903561:30445:30446:62040:5737:5622:1405:34967:5829:5758:5739:5743:9277:5634:10494:5576
5618	cell wall	30 out of 348 genes, 8.6%	163 out of 6473 background genes, 2.5%	3.65e-07	0.00%	XOG1:ECM33:TKL1:TEF2:SAM2:MCD4:SIM1:GPM1:SSC1:PST2:DDR48:MP65:TOS1:WSC1:TDH3:TPI1:PGA59:ECE1:CDC11:PGA14:SCW11:PGA4:SUN41:CYP1:UGP1:SDH2:SSB1:RPS20:PGA13:XYL2	72687:5628:9986:32160:5789:5619:42645:46658:324:31966:144:5881:16021:329:5886:5844:31105:5811:5935:1903561:5876:22627:30445:30446:62040:5622:5737:1405:34967:5940:5829:5758:1990819:5783:5739:399:935:5743:9277:5749:16020:5634:1411:32168:31314:1400:10494:5576
9277	fungal-type cell wall	30 out of 348 genes, 8.6%	163 out of 6473 background genes, 2.5%	3.65e-07	0.00%	XOG1:ECM33:TKL1:TEF2:SAM2:MCD4:SIM1:GPM1:SSC1:PST2:DDR48:MP65:TOS1:WSC1:TDH3:TPI1:PGA59:ECE1:CDC11:PGA14:SCW11:PGA4:SUN41:CYP1:UGP1:SDH2:SSB1:RPS20:PGA13:XYL2	72687:5628:9986:32160:5789:5619:42645:46658:324:31966:144:5881:16021:329:5886:5844:31105:5811:5935:1903561:5876:22627:30445:30446:62040:5622:5737:1405:34967:5940:5829:5758:1990819:5783:5739:399:935:5743:9277:5749:16020:5634:1411:32168:31314:1400:10494:5576
30312	external encapsulating structure	30 out of 348 genes, 8.6%	164 out of 6473 background genes, 2.5%	4.25e-07	0.00%	XOG1:ECM33:TKL1:TEF2:SAM2:MCD4:SIM1:GPM1:SSC1:PST2:DDR48:MP65:TOS1:WSC1:TDH3:TPI1:PGA59:ECE1:CDC11:PGA14:SCW11:PGA4:SUN41:CYP1:UGP1:SDH2:SSB1:RPS20:PGA13:XYL2	72687:5628:9986:32160:5789:5619:42645:46658:324:31966:144:5881:16021:329:5886:5844:31105:5811:5935:1903561:5876:22627:30445:30446:62040:5622:5737:1405:34967:5940:5829:5758:1990819:5783:5739:399:935:5743:9277:5749:16020:5634:1411:32168:31314:1400:10494:5576
9986	cell surface	32 out of 348 genes, 9.2%	200 out of 6473 background genes, 3.1%	3.75e-06	0.00%	XOG1:ECM33:PGA26:TKL1:FGR41:SAM2:ACT1:SIM1:RPL4B:DCW1:GPM1:SSC1:PGA55:DDR48:MP65:TOS1:TDH3:TPI1:ATP2:PGA53:PGA59:PGA54:EFB1:PGA14:SCW11:PGA4:SUN41:UGP1:SDH2:SSB1:PGA13:CHS2	5628:9986:812:32432:42645:31011:30864:46658:31966:329:5886:35267:120105:5844:15629:120104:120106:22625:5811:1903561:30445:45009:30446:62040:5622:5737:1405:5829:5758:142:5840:1990819:5739:48471:45261:30479:5884:935:5743:9277:5933:5749:5754:16020:30428:1411:31314:43332:10494:5576:5853
71944	cell periphery	71 out of 348 genes, 20.4%	710 out of 6473 background genes, 11.0%	1.80e-05	0.00%	XOG1:ECM33:C1_03940W_A:ERG3:TKL1:TEF2:C1_09210C_A:PET100:C1_10710C_A:GIN4:SAM2:MCD4:SPA2:BNI1:ACT1:SIM1:POM152:ATP18:DCW1:SRD1:ZRT2:GPM1:SSC1:C2_07640W_A:PST2:C2_08860W_A:DDR48:MP65:KIP2:TOS1:PAM17:PHB1:WSC1:HGT5:TEA1:YCK2:TDH3:TPI1:ECM7:ATP2:PGA53:PGA59:ECE1:OSH3:AXL2:VPH1:CDC11:PGA14:PET9:C5_04050W_A:SCW11:SFC1:C5_04950C_A:PGA4:COX15:SUN41:PMP1:SNQ2:RVS167:C7_00670C_A:FMP45:CYP1:PMT1:UGP1:SDH2:HGT14:SSB1:RPS20:PGA13:CHS2:XYL2	5753:97583:5628:276:9986:32160:110085:44853:5619:42645:30864:46658:324:31966:1990528:5881:30427:329:5816:5886:35267:15629:120106:97582:220:5887:32153:9898:1903561:22627:5641:31560:5622:5737:34967:5940:142:31097:45261:51233:31561:31562:5884:31521:133:935:5743:9277:5933:5749:5754:5740:5937:30428:31314:43332:1400:70762:72687:110115:812:5789:32432:31011:144:5934:16021:5875:120105:5844:120104:31105:5811:5935:5876:30445:45009:30446:51285:62040:5768:1405:131:5829:71561:5758:1990819:5739:5783:48471:5938:30479:33101:399:71341:5788:31305:5643:16020:5730:32541:5634:1411:12505:32168:10494:5576:1903754
30446	hyphal cell wall	14 out of 348 genes, 4.0%	69 out of 6473 background genes, 1.1%	0.00278	0.00%	ECM33:TEF2:SAM2:GPM1:PST2:DDR48:MP65:TOS1:TDH3:TPI1:ECE1:PGA4:RPS20:XYL2	5628:9986:46658:329:5886:1903561:22627:5622:5737:9277:5811:30445:30446:62040:5829:5758:5739:16020:10494:5576
