GOID	TERM	CORRECTED_PVALUE	UNCORRECTED_PVALUE	NUM_LIST_ANNOTATIONS	LIST_SIZE	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	FDR_RATE	EXPECTED_FALSE_POSITIVES	ANNOTATED_GENES
GO:0045229	external encapsulating structure organization	1.59444130197307e-13	1.78548858003703e-16	35	189	252	7166	0.00%	0.00	YMR305C, YNL283C, YBL043W, YDR528W, YHR143W, YIL123W, YOR009W, YER011W, YLR414C, YLR390W-A, YJL116C, YJL083W, YCL051W, YJL158C, YBL101C, YDR077W, YLR425W, YLR110C, YNL066W, YGR279C, YER046W, YDR389W, YKL096W-A, YHL046C, YLR307W, YLR308W, YBR005W, YOR247W, YJL159W, YGR014W, YLR121C, YDL222C, YKR042W, YLR286C, YJR104C
GO:0071555	cell wall organization	1.59444130197307e-13	1.78548858003703e-16	35	189	252	7166	0.00%	0.00	YER046W, YNL066W, YGR279C, YBL101C, YJL158C, YCL051W, YDR077W, YLR425W, YLR110C, YJL116C, YJL083W, YLR414C, YER011W, YLR390W-A, YOR009W, YIL123W, YHR143W, YBL043W, YNL283C, YMR305C, YDR528W, YLR286C, YJR104C, YLR121C, YDL222C, YGR014W, YKR042W, YJL159W, YBR005W, YOR247W, YHL046C, YLR308W, YLR307W, YDR389W, YKL096W-A
GO:0071554	cell wall organization or biogenesis	3.40819868122552e-11	3.81657187147315e-14	35	189	299	7166	0.00%	0.00	YLR390W-A, YER011W, YLR414C, YIL123W, YOR009W, YHR143W, YDR528W, YMR305C, YNL283C, YBL043W, YER046W, YGR279C, YNL066W, YDR077W, YLR425W, YLR110C, YJL158C, YCL051W, YBL101C, YJL083W, YJL116C, YLR307W, YLR308W, YHL046C, YKL096W-A, YDR389W, YJR104C, YLR286C, YKR042W, YGR014W, YLR121C, YDL222C, YOR247W, YBR005W, YJL159W
GO:0031505	fungal-type cell wall organization	3.54772881053439e-10	3.97282061649988e-13	28	189	205	7166	0.00%	0.00	YGR014W, YLR121C, YDL222C, YNL066W, YKR042W, YER046W, YJR104C, YJL116C, YOR247W, YJL159W, YJL083W, YCL051W, YJL158C, YLR110C, YDR077W, YLR425W, YIL123W, YOR009W, YER011W, YHL046C, YLR414C, YLR307W, YLR308W, YLR390W-A, YNL283C, YDR528W, YKL096W-A, YDR389W
GO:0071852	fungal-type cell wall organization or biogenesis	1.07071603724305e-08	1.199010120093e-11	28	189	235	7166	0.00%	0.00	YCL051W, YJL158C, YLR110C, YDR077W, YLR425W, YJL116C, YJL083W, YJL159W, YOR247W, YJR104C, YER046W, YNL066W, YLR121C, YDL222C, YGR014W, YKR042W, YKL096W-A, YDR389W, YNL283C, YDR528W, YHL046C, YLR414C, YER011W, YLR390W-A, YLR308W, YLR307W, YOR009W, YIL123W
GO:0000272	polysaccharide catabolic process	1.73269580458139e-05	1.94030885171488e-08	8	189	20	7166	0.00%	0.00	YFR017C, YIL050W, YLR286C, YLR307W, YLR308W, YIL123W, YNL066W, YKR042W
GO:0022402	cell cycle process	5.68256540686208e-05	6.36345510286907e-08	41	189	645	7166	0.00%	0.00	YGR221C, YHR079C-A, YDR451C, YBR233W-A, YDL222C, YGR014W, YKR042W, YPR036W-A, YLR084C, YDR320C-A, YEL061C, YKR091W, YBL051C, YHL022C, YPL256C, YKR077W, YKL101W, YBR158W, YJL194W, YLR308W, YLR307W, YNL188W, YJL019W, YLR425W, YNL066W, YMR133W, YER046W, YPL269W, YGL178W, YAL040C, YDR247W, YER132C, YMR052W, YBR098W, YNL307C, YJR094C, YNL197C, YLR035C, YGR041W, YKL185W, YGR059W
GO:0007049	cell cycle	0.000102383140602733	1.14650773351325e-07	46	189	789	7166	0.00%	0.00	YJL019W, YNL188W, YLR425W, YER046W, YPL269W, YFL031W, YNL066W, YMR133W, YBR098W, YMR052W, YNL307C, YJR094C, YML028W, YGL178W, YAL040C, YDR247W, YER132C, YKL185W, YGR059W, YLR035C, YNL197C, YGR041W, YIL050W, YDR451C, YBR233W-A, YGR221C, YHR079C-A, YLR084C, YEL061C, YDR320C-A, YDL222C, YGR014W, YKR042W, YPR036W-A, YHL022C, YPL256C, YKR077W, YKL101W, YKR091W, YBL051C, YHR071W, YJL194W, YLR308W, YLR307W, YBR158W, YLR190W
GO:0016043	cellular component organization	0.000159464814792585	1.78572021044328e-07	89	189	2114	7166	0.00%	0.00	YLR390W-A, YML041C, YLR414C, YLR035C, YOR009W, YNL307C, YJR094C, YBR098W, YHR143W, YDR528W, YLR438C-A, YAL040C, YMR305C, YDR096W, YGR077C, YPL269W, YPL250C, YGR279C, YMR133W, YJR120W, YNL066W, YLR110C, YLR425W, YJL083W, YJL194W, YHL046C, YBR158W, YMR323W, YHR167W, YKL006C-A, YDR080W, YHL022C, YDR485C, YEL061C, YDR320C-A, YIL042C, YKR042W, YDL222C, YGR014W, YOR147W, YJL159W, YOR247W, YBR005W, YHR079C-A, YDR166C, YEL044W, YKL185W, YER011W, YER154W, YNL197C, YIL123W, YNL328C, YOR204W, YBR040W, YBL043W, YNL283C, YBR262C, YER046W, YOL126C, YLR318W, YDR077W, YBL101C, YJL019W, YNL188W, YJL158C, YCL051W, YOR371C, YJL116C, YLR308W, YLR307W, YIR023W, YPL149W, YLR190W, YPR140W, YOL026C, YDR389W, YKL096W-A, YNR020C, YEL009C, YNR047W, YLR084C, YJR104C, YLR286C, YLR121C, YBR233W-A, YKL043W, YPL184C, YGL180W, YNL306W
GO:0005975	carbohydrate metabolic process	0.00364825911191503	4.08539654189812e-06	22	189	281	7166	0.00%	0.00	YIL042C, YLR286C, YOL126C, YKR042W, YGR279C, YNL066W, YIL050W, YFR017C, YIL107C, YLR308W, YLR307W, YGL227W, YMR323W, YIL123W, YGL156W, YML028W, YLR081W, YJL052W, YBR105C, YGR043C, YMR305C, YOL065C
