Gene	Name	TPM.RNA	TPM.Ssd1	ratio.Ssd1.RNA
YNL066W	SUN4	168.844	36856.311	218.286
YIL123W	SIM1	207.356	13205.825	63.687
YDR525W-A	SNA2	27.861	1394.575	50.054
YGR041W	BUD9	48.352	2145.931	44.382
YIL042C	PKP1	24.5	815.899	33.302
YOR247W	SRL1	1253.476	39858.047	31.798
YHR143W	DSE2	487.628	15217.617	31.207
YKR042W	UTH1	1214.281	31075.514	25.592
YDR441C	APT2	30.406	747.041	24.569
YER046W	SPO73	21.97	513.469	23.371
YLR286C	CTS1	874.737	19399.082	22.177
YDR528W	HLR1	54.178	1092.017	20.156
YNR020C	ATP23	32.409	634.77	19.586
YHR167W	THP2	26.167	482.891	18.454
YOR383C	FIT3	84.112	1509.679	17.948
YBR158W	AMN1	221.469	3927.155	17.732
YCL051W	LRE1	33.432	572.691	17.13
YMR195W	ICY1	136.211	2309.739	16.957
YGR203W	YCH1	32.106	498.472	15.526
YGL178W	MPT5	21.671	295.705	13.645
YLR110C	CCW12	9268.582	125923.582	13.586
YHR071W	PCL5	334.897	4418.99	13.195
YJL159W	HSP150	1071.896	13476.349	12.572
YLR190W	MMR1	81.979	908.39	11.081
YKL061W	BLI1	49.877	547.27	10.972
YGL122C	NAB2	101.056	1051.555	10.406
YKL043W	PHD1	78.546	743.046	9.46
YIL134W	FLX1	21.773	202.418	9.297
YEL061C	CIN8	42.184	383.522	9.092
YGR014W	MSB2	92.41	828.996	8.971
YKL109W	HAP4	38.78	345.282	8.904
YDR449C	UTP6	71.788	617.578	8.603
YPR065W	ROX1	89.553	765.977	8.553
YPL076W	GPI2	22.447	190.888	8.504
YJR147W	HMS2	68.015	573.213	8.428
YOR174W	MED4	54.262	447.133	8.24
YCL037C	SRO9	32.114	263.74	8.213
YPR140W	TAZ1	42.436	345.53	8.142
YDR320C-A	DAD4	142.521	1108.087	7.775
YJR120W	NA	112.209	825.441	7.356
YPL269W	KAR9	23.448	165.036	7.038
YDL232W	OST4	275.094	1912.582	6.952
YKL101W	HSL1	87.186	587.625	6.74
YKR046C	PET10	34.791	229.635	6.6
YGR279C	SCW4	670.951	4382.859	6.532
YBR162C	TOS1	667.894	4358.316	6.525
YOR371C	GPB1	28.44	184.35	6.482
YLR040C	AFB1	25.092	158.031	6.298
YDR059C	UBC5	34.811	216.44	6.218
YDR527W	RBA50	79.738	490.474	6.151
YGR146C	ECL1	43.992	268.615	6.106
YGR221C	TOS2	26.306	156.205	5.938
YJL079C	PRY1	156.779	929.932	5.931
YBR262C	MIC12	79.752	463.653	5.814
YJL158C	CIS3	970.629	5568.093	5.737
YMR174C	PAI3	21.336	121.42	5.691
YNL075W	IMP4	118.274	669.085	5.657
YNL147W	LSM7	142.879	787.732	5.513
YPL189C-A	COA2	55.25	301.244	5.452
YPL256C	CLN2	145.678	789.221	5.418
YGR243W	MPC3	31.162	167.861	5.387
YKL185W	ASH1	98.874	531.397	5.374
YDL222C	FMP45	22.213	116.893	5.262
YKR013W	PRY2	355.431	1797.687	5.058
YJL078C	PRY3	72.378	365.693	5.053
YKR091W	SRL3	21.912	110.348	5.036
YOR065W	CYT1	110.929	553.526	4.99
YCR079W	PTC6	29.705	147.9	4.979
YGL029W	CGR1	131.895	656.279	4.976
YBR233W-A	DAD3	79.544	393.832	4.951
YLR073C	RFU1	47.22	230.95	4.891
YHR061C	GIC1	26.863	126.968	4.727
YKR077W	MSA2	43.531	205.108	4.712
YOR221C	MCT1	45.802	213.73	4.666
YNL197C	WHI3	65.008	301.715	4.641
YJL019W	MPS3	28.938	134.23	4.638
YLR438C-A	LSM3	194.638	886.518	4.555
YDL046W	NPC2	263.904	1193.271	4.522
YLR390W-A	CCW14	558.782	2488.368	4.453
YBR072W	HSP26	44.475	196.794	4.425
YDR379C-A	SDH6	36.792	162.649	4.421
YDR079W	PET100	65.075	283.266	4.353
YOR305W	RRG7	60.675	262.234	4.322
YLR218C	COA4	35.203	149.918	4.259
YEL004W	YEA4	23.954	100.345	4.189
YOR204W	DED1	109.798	459.691	4.187
YOL005C	RPB11	155.852	649.24	4.166
YOR229W	WTM2	23.981	99.66	4.156
YER150W	SPI1	41.757	173.295	4.15
YPL184C	MRN1	73.466	298.844	4.068
YBL101C	ECM21	20.786	84.232	4.052
YOL052C-A	DDR2	93.264	375.974	4.031
