Gene	Name	Condition	TPM.RNA	TPM.Ssd1	ratio.Ssd1.RNA
YNL066W	SUN4	30	168.844	36856.311	218.286
YIL123W	SIM1	30	207.356	13205.825	63.687
YDR525W-A	SNA2	30	27.861	1394.575	50.054
YGR041W	BUD9	30	48.352	2145.931	44.382
YIL042C	PKP1	30	24.5	815.899	33.302
YOR247W	SRL1	30	1253.476	39858.047	31.798
YHR143W	DSE2	30	487.628	15217.617	31.207
YKR042W	UTH1	30	1214.281	31075.514	25.592
YDR441C	APT2	30	30.406	747.041	24.569
YER046W	SPO73	30	21.97	513.469	23.371
YLR286C	CTS1	30	874.737	19399.082	22.177
YDR528W	HLR1	30	54.178	1092.017	20.156
YNR020C	ATP23	30	32.409	634.77	19.586
YHR167W	THP2	30	26.167	482.891	18.454
YOR383C	FIT3	30	84.112	1509.679	17.948
YBR158W	AMN1	30	221.469	3927.155	17.732
YCL051W	LRE1	30	33.432	572.691	17.13
YMR195W	ICY1	30	136.211	2309.739	16.957
YGR203W	YCH1	30	32.106	498.472	15.526
YGL178W	MPT5	30	21.671	295.705	13.645
YLR110C	CCW12	30	9268.582	125923.582	13.586
YHR071W	PCL5	30	334.897	4418.99	13.195
YJL159W	HSP150	30	1071.896	13476.349	12.572
YLR190W	MMR1	30	81.979	908.39	11.081
YKL061W	BLI1	30	49.877	547.27	10.972
YGL122C	NAB2	30	101.056	1051.555	10.406
YKL043W	PHD1	30	78.546	743.046	9.46
YIL134W	FLX1	30	21.773	202.418	9.297
YEL061C	CIN8	30	42.184	383.522	9.092
YGR014W	MSB2	30	92.41	828.996	8.971
YKL109W	HAP4	30	38.78	345.282	8.904
YDR449C	UTP6	30	71.788	617.578	8.603
YPR065W	ROX1	30	89.553	765.977	8.553
YPL076W	GPI2	30	22.447	190.888	8.504
YJR147W	HMS2	30	68.015	573.213	8.428
YOR174W	MED4	30	54.262	447.133	8.24
YCL037C	SRO9	30	32.114	263.74	8.213
YPR140W	TAZ1	30	42.436	345.53	8.142
YDR320C-A	DAD4	30	142.521	1108.087	7.775
YJR120W	NA	30	112.209	825.441	7.356
YPL269W	KAR9	30	23.448	165.036	7.038
YDL232W	OST4	30	275.094	1912.582	6.952
YKL101W	HSL1	30	87.186	587.625	6.74
YKR046C	PET10	30	34.791	229.635	6.6
YGR279C	SCW4	30	670.951	4382.859	6.532
YBR162C	TOS1	30	667.894	4358.316	6.525
YOR371C	GPB1	30	28.44	184.35	6.482
YLR040C	AFB1	30	25.092	158.031	6.298
YDR059C	UBC5	30	34.811	216.44	6.218
YDR527W	RBA50	30	79.738	490.474	6.151
YGR146C	ECL1	30	43.992	268.615	6.106
YGR221C	TOS2	30	26.306	156.205	5.938
YJL079C	PRY1	30	156.779	929.932	5.931
YBR262C	MIC12	30	79.752	463.653	5.814
YJL158C	CIS3	30	970.629	5568.093	5.737
YMR174C	PAI3	30	21.336	121.42	5.691
YNL075W	IMP4	30	118.274	669.085	5.657
YNL147W	LSM7	30	142.879	787.732	5.513
YPL189C-A	COA2	30	55.25	301.244	5.452
YPL256C	CLN2	30	145.678	789.221	5.418
YGR243W	MPC3	30	31.162	167.861	5.387
YKL185W	ASH1	30	98.874	531.397	5.374
YDL222C	FMP45	30	22.213	116.893	5.262
YKR013W	PRY2	30	355.431	1797.687	5.058
YJL078C	PRY3	30	72.378	365.693	5.053
YKR091W	SRL3	30	21.912	110.348	5.036
