# RNAseq_stressmatched_transcriptcounts.txt - counts to transcripts from multiBamCov
# Run from process_RNAseq.Rmd
# RNA_stressmatched_StefanBresson2020, date 26-09-2020
seqname	source	feature	start	end	score	strand	frame	attributes	RNA_A_30	RNA_B_30	RNA_C_GE	RNA_D_GE	RNA_E_42	RNA_F_42
chrI	yeastutrgff	primary_transcript	147469	151191	.	-	.	ID=YAL001C_tx0	4775	3408	6228	4381	3416	3229
chrI	yeastutrgff	primary_transcript	143682	147656	.	+	.	ID=YAL002W_tx0	3284	2127	4495	2828	1421	1665
chrI	SGD	primary_transcript	142153	143381	.	+	.	ypd=4653;ID=YAL003W_id526	81117	51895	39934	25997	73375	59590
chrI	SGD	primary_transcript	139357	141493	.	-	.	ypd=236;ID=YAL005C_id123	94306	58914	212426	133469	605637	483816
chrI	SGD	primary_transcript	137552	138414	.	-	.	ypd=203;ID=YAL007C_id185	7360	4789	3655	2532	2177	1978
chrI	SGD	primary_transcript	136866	137637	.	+	.	ypd=146;ID=YAL008W_id199	2049	1328	2136	1476	3904	3730
chrI	SGD	primary_transcript	135823	136756	.	+	.	ypd=6;ID=YAL009W_id014	1446	1033	1045	827	694	776
chrI	SGD	primary_transcript	134025	135699	.	-	.	ypd=2;ID=YAL010C_id003	1305	858	1689	1204	1073	1097
chrI	SGD	primary_transcript	132195	134173	.	+	.	ypd=3;ID=YAL011W_id012	1940	1178	1048	659	752	701
chrI	SGD	primary_transcript	130735	132082	.	+	.	ypd=667;ID=YAL012W_id100	26521	16820	10302	6319	8622	7730
chrI	SGD	primary_transcript	129238	130588	.	+	.	ypd=30;ID=YAL013W_id065	2158	1398	2839	1736	1301	1331
chrI	SGD	primary_transcript	128118	129072	.	-	.	ypd=102;ID=YAL014C_id142	1874	1204	1885	1151	1569	1542
chrI	SGD	primary_transcript	126896	128102	.	-	.	ypd=25;ID=YAL015C_id019	1690	1071	1236	847	1297	1274
chrI	SGD	primary_transcript	124792	126854	.	+	.	ypd=16;ID=YAL016W_id029	10820	7045	11059	7641	9218	8890
chrI	yeastutrgff	primary_transcript	120200	124420	.	+	.	ID=YAL017W_tx0	5482	3502	9750	6326	10714	10200
